.bridgestone,generic,Bridgestone Corporation,37.209.192.4,AS12008
.broadway,generic,Celebrate Broadway  Inc,156.154.100.3,AS397220
.broker,generic,Dog Beach  LLC,37.209.192.7,AS12008
.brother,generic,Brother Industries  Ltd,37.209.192.4,AS12008
.brussels,generic,DNSbe vzw,194.0.25.14,AS1921
.bs,country-code,University of The Bahamas,204.61.216.4,AS42
.bt,country-code,Ministry of Information and Communications,198.6.1.65,AS701
.budapest,generic,Minds + Machines Group Limited,156.154.101.3,AS397213
.bugatti,generic,Bugatti International SA,65.22.211.9,AS207266
.build,generic,Plan Bee LLC,194.169.218.20,AS199330
.builders,generic,Binky Moon  LLC,37.209.192.7,AS12008
.business,generic,Binky Moon  LLC,37.209.192.7,AS12008
.buy,generic,Amazon Registry Services  INC,213.248.218.62,AS43519
.buzz,generic,DOTSTRATEGY CO,156.154.158.29,AS19905
.bv,country-code,Norid A/S,128.39.2.22,AS224
.bw,country-code,Botswana Communications Regulatory Authority (BOCRA),,AS37177
.by,country-code,Reliable Software  Ltd,37.48.67.249,AS60781
.bz,country-code,University of Belize,199.254.59.1,AS12041
.bzh,generic,Association wwwbzh,194.0.9.1,AS2484
.ca,country-code,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI),185.159.196.2,AS394354
.cab,generic,Binky Moon  LLC,37.209.192.7,AS12008
.cafe,generic,Binky Moon  LLC,37.209.192.7,AS12008
.cal,generic,Charleston Road Registry Inc,216.239.32.105,AS15169
.call,generic,Amazon Registry Services  Inc,213.248.218.63,AS43519
.calvinklein,generic,PVH gTLD Holdings LLC,156.154.157.31,AS19905
.cam,generic,AC Webconnecting Holding BV,212.18.248.77,AS201304
.camera,generic,Binky Moon  LLC,37.209.192.7,AS12008
.camp,generic,Binky Moon  LLC,37.209.192.7,AS12008
.cancerresearch,generic,Australian Cancer Research Foundation,37.209.198.9,AS12008
.canon,generic,Canon Inc,37.209.192.4,AS12008
.capetown,generic,ZA Central Registry NPC trading as ZA Central Registry,206.223.136.200,AS6968
.capital,generic,Binky Moon  LLC,37.209.192.7,AS12008
