NIXVAL,19,ES,Valencia,ixp.nixval.com
PTT S?o Jos¨¦ dos Campos,19,BR,Sao Jos¨¦ dos Campos,ix.br
MKE-IX,19,US,Milwaukee,www.mkeix.net
CABASE-LPL,19,AR,La Plata,www.cabase.org.ar
MGMix,19,US,Montgomery,www.mgmix.net
Equinix Stockholm,19,SE,Stockholm,www.equinix.se
CLOUD-IX SPB,19,RU,St. Petersburg,www.cloud-ix.net
Community-IX.ch,19,CH,Zurich,www.community-ix.ch
ANI-IX Delhi,19,IN,New Delhi,ani-ix.org
NIXA,19,AF,Kabul,www.nixa.af
IXP LON,19,GB,London,www.ixp.cat
MidWest-IX - St. Louis,18,US,St. Louis,www.midwest-ix.com
AAIX,18,AT,Klagenfurt,
IXOR,18,SE,Malm?,www.ixor.se
CNIX,18,CN,Beijing,www.cnix.com.cn
IX.py,18,PY,San Lorenzo,ix.py
YXEIX,18,CA,Saskatoon,yxeix.ca
GR-IX Thessaloniki,18,GR,Thessaloniki,www.gr-ix.gr
WAF-IX Lagos,18,NG,Lagos,www.wafix.net
CSL Thai-IX Bangkok,18,TH,Bangkok,www.cslthai-ix.net
Manama IX,18,BH,Manama,www.mn-ix.com
Aperture-IX,18,HK,Hong Kong,ix.apernet.io
RVA-IX,17,US,Ashland,rva-ix.net
MIXP,17,MU,Ebene,www.mixp.org
JXIX,17,US,Jacksonville,jxix.org
Tirol-IX,17,AT,Innsbruck,www.tirol-ix.at
INEX Cork,17,IE,Cork,www.inex.ie
IXP-MegaLink,17,BO,LA PAZ,ixp.MegaLink.com
PIPE Networks Brisbane,17,AU,Brisbane,www.pipenetworks.com
NAP.EC-UIO,17,EC,Quito,www.nap.ec
CABASE-ROS,17,AR,Rosario,www.cabase.org.ar
MSK-IX Samara,17,RU,Samara,www.msk-ix.ru
STHIX Gothenburg,17,SE,Gothenburg,www.sthix.net
PTT S?o Lu¨ªs,17,BR,S?o Lu¨ªs,ix.br
RomandIX,17,CH,Lausanne,www.romandix.ch
Breizh-IX,17,FR,Rennes,www.breizh-ix.net
AMS-IX New York,17,US,New York,nynj.ams-ix.net
PS-IX Ramallah,17,PS,Ramallah,ps-ix.ps
IX42 LAS,17,US,Las Vegas,ix42.org
GeekIX Taoyuan,17,TW,Taoyuan,ix.geeknetworks.com.au
IXCardiff,16,GB,Cardiff,www.linx.net
FNIX6,16,FR,Paris,
TahoeIX,16,US,Northern Nevada,www.tahoeix.org
ArmIX,16,AM,Yerevan,armix.am
PIPE Networks Melbourne,16,AU,Melbourne,www.pipenetworks.com
Netnod Gothenburg,16,SE,Gothenburg,www.netnod.se
MSK-IX Vladivostok,16,RU,Vladivostok,www.msk-ix.ru
MMIX,16,MM,Yangon,www.mm-ix.net
Beirut IX,16,LB,Beirut,www.beirutix.net
IX.br (PTT.br) Cascavel,16,BR,Cascavel,ix.br
CyrusOne IX Houston,16,US,Houston,www.cyrusone.com
STUIX,16,TW,Taipei City,stuix.io
RO-CIX,16,RO,Bucharest,roix.net
DCI-IX,16,ID,Bekasi,dci-indonesia.com
Equinix Toronto,15,CA,Toronto,ix.equinix.com
NIX2,15,NO,Oslo,www.nix.no
ULN-IX,15,RU,Ulyanovsk,www.uln-ix.ru
KS-IX,15,UA,Kherson,ix.ks.ua
Netnod Sundsvall,15,SE,Sundsvall,www.netnod.se
NAP Colombia,15,CO,Bogota,nap.co
MOZIX,15,MZ,Maputo,www.mozix.org.mz
MD-IX,15,MD,Chisinau,www.moldtelecom.md
Equinix Dublin,15,IE,Dublin,www.equinix.ie
ANIX,15,AL,Tirana,www.anix.al
Equinix Bogota,15,CO,Bogota,www.equinix.com
Bharat IX - Mumbai,15,IN,Mumbai,www.bharatix.net
ix.kw,15,KW,Kuwait City,ix.kw
BelgiumIX,15,BE,Brussels,belgiumix.net
AuvernIX,14,FR,Clermont-Ferrand,www.auvernix.org
OttIX,14,CA,Ottawa,www.ottix.net
MegaIX Seattle,14,US,Seattle,megaport.com
CABASE-MDQ,14,AR,Mar Del Plata,www.cabase.org.ar
GIX,14,SE,Gothenburg,www.gix.se
SYMC-IX,14,TH,Bangkok,www.symphony.net.th
IX Liverpool,14,GB,Liverpool,www.ixliverpool.net
HVIX,14,PL,Warsaw,
A.IX,14,LB,Beirut,www.a-ix.org
CHC-IX,14,NZ,Christchurch,ix.nz
RDC-IX Kinshasa,14,CD,Kinshasa,www.ispa-drc.cd
WRIX,14,PL,Wroc?aw,wrix.org
SAIX Saudi Arabia,14,SA,Riyadh,saix.sa
THAI-IX,14,TH,Bangkok,www.cslthai-ix.net
SEECIX,14,GR,Athens,www.seecix.net
IIX-Jabar,14,ID,Bandung,www.iix.net.id
InterAUS - Sydney IX,14,AU,Sydney,interaus.com.au
Digital Realty | Telx Dallas,13,US,Dallas,ix.digitalrealty.com
Digital Realty | Telx Phoenix,13,US,Phoenix,ix.digitalrealty.com
WPGIX,13,CA,Winnipeg,wpgix.ca
T-CIX,13,BG,Sofia,www.t-cix.net
iAIX,13,HK,Hong Kong,www.iadvantage.net
GraX,13,AT,Graz,www.grax.at
CABASE-POS,13,AR,Posadas,www.cabase.org.ar
PTT Caxias do Sul,13,BR,Caxias do Sul,ix.br
CNI-IX Jakarta,13,ID,Jakarta,www.cni.net.id
KIVIX,13,MD,Chisinau,www.kivix.net
IX.LODZ.PL,13,PL,?¨®d?,ix.lodz.pl
Sea-IX,13,RU,Krasnodar,sea-ix.ru
MEX-IX,13,US,McAllen,www.mdcdatacenters.com
GREX,13,GD,St. George's,ix.gd
DE-CIX Chennai,13,IN,Chennai,www.de-cix.in
IXP HEL,13,FI,Helsinki,www.ixp.cat
IXPN Abuja,13,NG,Abuja,www.ixp.net.ng
Puerto Rico Internet Exchange,13,PR,San Juan,www.puertoricoix.net
SNS-IX,13,UZ,Tashkent,www.sns-ix.uz
FSIX,13,NO,Sandefjord,fsix.no
GTIX,13,GT,Guatemala,www.ixp.gt
JumboIX,13,PE,Lima,www.iptp.com
DE-CIX Chicago,13,US,Chicago,www.de-cix.net
OPTIX,13,US,Fremont,www.optix.co.rs
AMS-IX Caribbean,12,CW,Curacao,www.ams-ix.cw
Any2 Chicago,12,US,Chicago,www.coresite.com
CHIX-NZ,12,NZ,Christchurch,chix.nzix.net
IIX-Jogja,12,ID,Yogyakarta,diy.apjii.or.id
DN-IX,12,UA,Donetsk,ix.dn.ua
CABASE-BHB,12,AR,Bah¨ªa Blanca,www.cabase.org.ar
DjIX,12,DJ,Djibouti,www.djiboutidatacenter.com
IX Palmas,12,BR,Palmas,www.microtel.net.br
ANG-IX,12,AO,Luanda,www.angola-ixp.ao
Peru IX (PIT Peru sac) - Arequipa,12,PE,Arequipa,www.peruix.net
TRUE-IX,11,TH,Bangkok,trueix.trueintergateway.com
YEGIX,11,CA,Edmonton,www.yegix.ca
NIXI Kolkata,11,IN,Kolkata,nixi.in
TOUIX,11,FR,Toulouse,www.touix.net
BINX,11,BW,Gaborone,www.binx.org.bw
CABASE-SZP,11,AR,Saenz Pe?a,www.cabase.org.ar
CN-IX Guangzhou,11,CN,GuangZhou,www.cn-ix.com
Extreme IX Hyderabad,11,IN,Hyderabad,extreme-ix.org
CABASE-JUJ,11,AR,San Salvador de Jujuy,www.cabase.org.ar
IIFON IX Kolkata,11,IN,Kolkata,iifon.org
PNG Neutral Internet Exchange,11,PG,Port Moresby,www.pgix.org.pg
Bhutan Internet Exchange,11,BT,Thimphu,www.btix.bt
ARIX,11,US,Fremont,arix.dev
BBIX Thailand,11,TH,Bangkok,www.bbix.net
KIXP - Mombasa icolo,11,KE,Mombasa,www.tespok.co.ke
Burkina Faso Internet Exchange Point (BFIX),11,BF,Ouagadougou,www.bfix.bf
IXP LEN,11,US,Fremont,www.ixp.cat
TR-IX,11,TR,Istanbul,tr-ix.com
JINX Voice,11,ZA,Johannesburg,www.inx.net.za
MUS-IX,11,US,Dallas,www.mus-ix.net
THESS-IX,11,GR,Thessaloniki,www.thess-ix.net
PIT Bolivia,11,BO,La Paz,www.pit.bo
Kremen-IX,11,UA,Kremenchuk,kremen-ix.net.ua
OCIX-NSW,11,AU,Sydney,www.oceanix.net.au
REUNIX,10,RE,Saint-Denis,www.renater.fr
TLLIX,10,EE,Tallinn,www.tllix.net
CABASE-SFE,10,AR,Santa F¨¦,www.cabase.org.ar
CABASE-JUN,10,AR,Junin,www.cabase.org.ar
RINEX,10,RW,Kigali,www.rinex.org.rw
IIX Israel,10,IL,Petach Tikva,www.iix.net.il
