source,target,value
AS27065-DoDNetworkInformationCenter-US,AS5972-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS6035-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS27033-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS27046-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS27064-DoDNetworkInformationCenter-US,-1
AS27065-DoDNetworkInformationCenter-US,AS27153-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS147-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS170-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS306-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS341-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS616-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS619-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS637-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS647-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS665-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS1600-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS1908-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS3538-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS3544-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS3954-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS5860-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS5927-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS5972-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS27046-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS27149-DoDNetworkInformationCenter-US,-1
AS27066-DoDNetworkInformationCenter-US,AS27153-DoDNetworkInformationCenter-US,-1
AS27137-DoDNetworkInformationCenter-US,AS27052-DoDNetworkInformationCenter-US,-1
AS27138-DoDNetworkInformationCenter-US,AS27051-DoDNetworkInformationCenter-US,-1
AS27142-DoDNetworkInformationCenter-US,AS27154-DoDNetworkInformationCenter-US,0
AS27153-DoDNetworkInformationCenter-US,AS345-DoDNetworkInformationCenter-US,-1
