0, !, 185.1.68.3, AS60917, , DE-CIX Madrid, ES, Madrid
192, !, 119.27.63.27, AS41095, Equinix Hong Kong, Equinix Hong Kong, HK//CN, Hong Kong
193, !, 198.32.176.128, AS11164, Equinix- Palo Alto, Equinix Internet Exchange Palo Alto, US, Palo Alto
194, !, 37.49.236.5, AS8075, France-IX, France-IX, FR, Paris
195, !, 195.42.144.89, AS44099, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
196, !, 206.126.236.175, AS12989, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
197, !, 217.29.66.20, AS26415, MIX, Milan Internet eXchange, IT, Milan
198, !, 195.69.119.140, AS21195, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
199, !, 198.32.231.144, AS24550, NPIX, Nepal Internet Exchange, NP, Kathmandu
200, !, 206.108.34.182, AS30539, TORIX, Toronto Internet Exchange, CA, Toronto
201, !, 194.68.123.247, AS12597, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
202, !, 195.182.218.134, AS13335, PLIX, Polish Internet Exchange, PL, Warsaw
203, !, 200.14.74.254, AS52359, , NAP CABASE Santa Fe, AR, Fe Santa
204, !, 80.249.209.144, AS1273, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
205, !, 206.108.35.30, AS54113, TORIX, Toronto Internet Exchange, CA, Toronto
206, !, 194.116.96.228, AS57928, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
207, !, 80.249.208.71, AS3333, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
208, !, 198.32.160.67, AS4258, NYIIX, New York International Internet Exchange, US, York New
209, !, 206.72.211.7, AS393470, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
210, !, 80.249.211.79, AS24608, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
211, !, 185.1.15.23, AS15169, SH-IX, SMARTHUB Internet Exchange, AE, Fujairah UAE
212, !, 103.27.170.10, AS33480, Mumbai CH, , IN, Mumbai
213, !, 80.249.211.60, AS15224, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
214, !, 185.1.68.18, AS202831, , DE-CIX Madrid, ES, Madrid
215, !, 86.104.125.70, AS6663, InterLAN-IX, InterLAN-IX, RO, Timisoara Bucharest Constanta Craiova
216, !, 103.26.68.59, AS133189, MegaIX Sydney, Megaport MegaIX Sydney, AU, Sydney
217, !, 206.223.119.18, AS19151, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
218, !, 196.223.21.48, AS13335, KIXP, Kenya Internet Exchange Point, KE, Nairobi
219, !, 195.191.170.249, AS20853, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
220, !, 91.212.9.60, AS51426, EPIX, EPIX.Warszawa-KIX, PL, Warszawa
221, !, 206.72.211.52, AS46562, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
222, !, 218.100.76.41, AS23670, IX Australia QLD, Queensland Internet Exchange, AU, Brisbane Queensland
223, !, 195.246.227.27, AS42979, SMILE, Santa Monica Internet Local Exchange, LV, Riga
224, !, 196.46.25.147, AS37368, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
225, !, 200.219.138.73, AS8075, PTT Rio de Janeiro, IX.br Rio de Janeiro, BR, Janeiro Rio RJ de
226, !, 103.203.158.96, AS17676, BBIX Hong Kong, BroadBand Internet eXchange Hong Kong, HK, Hong Kong
227, !, 80.81.195.53, AS39878, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
228, !, 192.121.80.213, AS6667, STHIX, Stockholm Internet eXchange, SE, Stockholm
229, !, 91.210.16.191, AS2852, NIX.CZ, NIX.CZ - Neutral Internet eXchange for the Czech Republic, CZ//Republic Czech, Prague
230, !, 195.66.227.3, AS2484, LINX, London Internet Exchange, GB//Kingdom United, London
231, !, 196.46.25.169, AS36916, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
232, !, 195.66.226.62, AS12536, LINX, London Internet Exchange, GB//Kingdom United, London
233, !, 192.121.80.140, AS42708, STHIX, Stockholm Internet eXchange, SE, Stockholm
234, !, 193.239.117.209, AS57023, NL-IX, Neutral Internet Exchange, NL, Amsterdam
235, !, 193.136.250.230, AS26415, GIGA-PIX, Gigabit Portugese Internet Exchange, PT, Lisbon
236, !, 195.66.236.18, AS16637, LINX, London Internet Exchange, GB//Kingdom United, London
237, !, 206.223.119.232, AS11114, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
238, !, 200.219.138.110, AS52550, PTT Rio de Janeiro, IX.br Rio de Janeiro, BR, Janeiro Rio RJ de
239, !, 195.42.144.125, AS41628, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
240, !, 206.41.108.59, AS6623, FL-IX, FL-IX - The South Florida Internet Exchange, US, Miami
