AS8455,"Schuberg Philis B.V.,ATOM86-AS",NL,1,2,-1
AS8560,"IONOS SE,IONOS-AS",DE,1,2,-1
AS8732,"OJSC Comcor,COMCOR-AS",RU,1,5,-4
AS8758,"Iway AG,IWAY",CH,1,2,-1
AS8896,"XFIBER AS,XFIBER-AS",NO,1,1,0
AS10229,"Yahoo-Inc,YAHOO-TW1",US,1,0,1
AS12470,"Globe Development GmbH,AS12470",DE,1,3,-2
AS12859,"BIT BV,NL-BIT",NL,1,2,-1
AS14630,"""Invesco Group Services,INVESCO",US,1,2,-1
AS14840,"BR Digital,",BR,1,6,-5
AS15133,"Verizon Business,EDGECAST",US,1,1,0
AS15435,"DELTA Fiber Nederland B.V.,KABELFOON",NL,1,0,1
AS15576,"NTS workspace AG,NTS",CH,1,0,1
AS15830,"TELECITYGROUP INTERNATIONAL LIMITED,Equinix",GB,1,3,-2
AS16347,"ADISTA SAS,RMI-FITECH",FR,1,2,-1
AS20562,"Broadband Hosting B.V,OPEN-PEERING-AS",NL,1,2,-1
AS20766,"""Association """"Gitoyen"""""",GITOYEN-MAIN-AS",FR,1,1,0
AS20811,"Brennercom S.p.A.,BRENNERCOM-AS",IT,1,5,-4
AS21412,"""UAB """"Cgates"""""",CGATES-AS",LT,1,3,-2
AS24961,"myLoc managed IT AG,MYLOC-AS",DE,1,3,-2
AS25160,"Vorboss Limited,VORBOSS_AS",GB,1,2,-1
AS25220,"equada network GmbH,GLOBALNOC-AS",DE,1,3,-2
AS28186,"ITS TELECOMUNICACOES LTDA,",BR,1,6,-5
AS28716,"Reti Telematiche Italiane S.p.A. (Retelit S.p.A.),RETELIT-AS",IT,1,1,0
AS28792,"Public Internet Ltd,PUBLIC-INTERNET",GB,1,1,0
AS29075,"IELO-LIAZO SERVICES SAS,IELO",FR,1,3,-2
AS29140,"Hostserver GmbH,HOSTSERVER-AS",DE,1,3,-2
AS29467,"LUXNETWORK S.A.,LuxNetwork",LU,1,4,-3
AS30132,"""Internet Systems Consortium,ISC-F-AS",US,1,1,0
AS31025,"GHOSTnet GmbH,IAG-AS",DE,1,3,-2
AS31742,"Sota Solutions Ltd.,SOTACONNECT",GB,1,1,0
AS34019,"Hivane,HIVANE",FR,1,3,-2
AS34177,"CELESTE SAS,CELESTE-AS",FR,1,4,-3
