684,1,0,0,1,MTSAL-ASN,Bell MTS,CA,43.351,-79.7833
685,17,1,13,3,NTTA-685,"NTT America, Inc.",US,41.08144,-81.51901
686,1,0,0,1,OSD-GW-AS,7th Communications Group/GNE,US,41.08144,-81.51901
687,1,0,0,1,DNIC-AS-00687,DoD Network Information Center,US,41.08144,-81.51901
693,3,1,0,2,NOTRE-DAME-AS,University of Notre Dame,US,41.08144,-81.51901
700,1,0,0,1,ROKNET-AS,The Boeing Company,US,41.08144,-81.51901
701,646,34,612,0,UUNET,"MCI Communications Services, Inc. d/b/a Verizon Business",US,41.08144,-81.51901
702,77,15,61,1,UUNET,"MCI Communications Services, Inc. d/b/a Verizon Business",US,41.08144,-81.51901
703,11,1,9,1,UUNET,"MCI Communications Services, Inc. d/b/a Verizon Business",US,41.08144,-81.51901
705,1,0,0,1,UUNET,"MCI Communications Services, Inc. d/b/a Verizon Business",US,41.08144,-81.51901
714,2,0,0,2,APPLE-ENGINEERING,Apple Inc.,US,41.08144,-81.51901
715,3,0,1,2,WOODYNET-2,WoodyNet,US,41.08144,-81.51901
719,2,1,0,1,ELISA-AS,Elisa Oyj,EU,0.0,0.0
721,1,0,0,1,DNIC-ASBLK-00721-00726,DoD Network Information Center,US,41.08144,-81.51901
724,3,0,2,1,DNIC-ASBLK-00721-00726,DoD Network Information Center,US,41.08144,-81.51901
744,1,0,0,1,AFCONC-BLOCK2-AS,Air Force Systems Networking,US,41.08144,-81.51901
745,4,0,2,2,AFCONC-BLOCK2-AS,Air Force Systems Networking,US,41.08144,-81.51901
760,2,1,0,1,UniVie,Vienna University Computer Center,AT,48.1233,14.8715
762,2,0,0,2,WELLFLEET-AS,"Wellfleet Communications, Inc.",US,41.08144,-81.51901
763,1,0,0,1,SQNT-TEAMNET-AS,IBM,US,41.08144,-81.51901
764,1,0,0,1,FI-PMO-AS,Prime Minister's Office,EU,0.0,0.0
766,2,1,0,1,RedIRIS,Entidad Publica Empresarial Red.es,ES,41.32784,2.09472
772,1,0,0,1,DNIC-AS-00772,"Headquarters, USAISC",US,41.08144,-81.51901
786,11,5,4,2,JANET,Jisc Services Limited,GB,0.0,0.0
789,2,0,0,2,IN2P3,Renater,EU,0.0,0.0
790,2,1,0,1,EUNETFI,Elisa Oyj,EU,0.0,0.0
800,1,0,0,1,ONEWEB,OneWeb,US,41.08144,-81.51901
802,1,0,0,1,YORKU-AS,York University,CA,43.351,-79.7833
803,1,0,0,1,SASKTEL,Saskatchewan Telecommunications,CA,43.351,-79.7833
808,1,0,0,1,GONET-ASN-1,GONET,CA,43.351,-79.7833
812,2,0,0,2,ROGERS-COMMUNICATIONS,Rogers Communications Canada Inc.,CA,43.351,-79.7833
813,1,0,0,1,UUNET-CANADA,"MCI Communications Services, Inc. d/b/a Verizon Business",US,41.08144,-81.51901
814,4,0,3,1,UUNET-CANADA,"MCI Communications Services, Inc. d/b/a Verizon Business",US,41.08144,-81.51901
815,4,1,2,1,UUNET-CANADA,"MCI Communications Services, Inc. d/b/a Verizon Business",US,41.08144,-81.51901
816,16,2,13,1,MOONV6,"MCI Communications Services, Inc. d/b/a Verizon Business",US,41.08144,-81.51901
817,3,1,1,1,UUNET-CANADA,"MCI Communications Services, Inc. d/b/a Verizon Business",US,41.08144,-81.51901
826,1,0,0,1,CRTC-GC-AS,CRTC,CA,43.351,-79.7833
831,1,0,0,1,SYGMA-EXT-OR,Bell Sygma Systems Management Inc.,CA,43.351,-79.7833
834,1,0,0,1
838,2,0,1,1,CANET2-ASN,Canadian Research Network,CA,43.351,-79.7833
839,1,0,0,1,CANET2-ASN,Canadian Research Network,CA,43.351,-79.7833
841,1,0,0,1,CANET2-ASN,Canadian Research Network,CA,43.351,-79.7833
852,7,1,4,2,ASN852,TELUS Communications Inc.,CA,43.351,-79.7833
854,2,0,1,1,GONET-ASN-16,GONET,CA,43.351,-79.7833
855,2,0,1,1,CANET-ASN-4,Bell Canada,CA,43.351,-79.7833
1103,10,4,4,2,SURFNET-NL,SURFnet bv,NL,52.25917,4.75972
1104,1,0,0,1,Nikhef,Stichting Nederlandse Wetenschappelijk Onderzoek Instituten,EU,0.0,0.0
1113,1,0,0,1,TUGNET,Technische Universitaet Graz,AT,48.1233,14.8715
1114,1,0,0,1,,Universitaet Graz,AT,48.1233,14.8715
1117,1,0,0,1,BOKU,"Universitaet fur Bodenkultur, Wien",EU,0.0,0.0
1119,1,0,0,1,,ACOnet Testing AS,EU,0.0,0.0
1124,1,1,0,0,UVA-NL,Universiteit van Amsterdam,EU,0.0,0.0
1126,2,1,0,1,VANCIS,Vancis Advanced ICT Services,EU,0.0,0.0
1129,2,0,1,1,SURFNET-AS,SURFnet bv,NL,52.25917,4.75972
1133,2,0,1,1,UTWENTE-AS,SURFnet bv,NL,52.25917,4.75972
1136,9,0,7,2,KPN,KPN B.V.,NL,52.25917,4.75972
1137,3,0,2,1,,UNIP,EU,0.0,0.0
1138,2,0,1,1,,SURFnet bv,NL,52.25917,4.75972
1140,3,0,0,3,SIDN,Stichting Internet Domeinregistratie Nederland,NL,52.25917,4.75972
1198,3,3,0,0,,SURFnet bv,NL,52.25917,4.75972
1201,2,1,0,1,ASN-ODU-AS-AS,Old Dominion University,US,41.08144,-81.51901
1205,2,1,0,1,JKU-LINZ-AS,University Linz,AT,48.1233,14.8715
1206,1,0,0,1,PSCNET-HS-AS,Pittsburgh Supercomputing Center,US,41.08144,-81.51901
1213,4,1,1,2,HEANET,HEAnet Limited,IE,53.3443,-6.2615
1220,1,0,0,1,INFOASN-AS,INFONET Services Corporation,US,41.08144,-81.51901
1221,39,0,36,3,ASN-TELSTRA,Telstra Corporation,AU,-34.92866,138.59863
1224,3,0,0,3,NCSA-AS,National Center for Supercomputing Applications,US,41.08144,-81.51901
1225,16,3,11,2,NTTA-1225,"NTT America, Inc.",US,41.08144,-81.51901
1226,1,0,0,1,CTA-42-AS1226,California Technology Agency,US,41.08144,-81.51901
1227,1,0,0,1,SDSC-TEST1-AS,San Diego Supercomputer Center,US,41.08144,-81.51901
1236,2,0,0,2,GDC4S-GROUP-2,"General Dynamics C4 Systems, Inc.",US,41.08144,-81.51901
1237,3,0,1,2,KREONET-AS-KR,KISTI,KR,36.3261,127.43
1238,1,0,0,1,ICM-MALAYSIA,US Sprint,US,41.08144,-81.51901
1239,384,32,352,0,SPRINTLINK,Sprint,US,41.08144,-81.51901
1241,9,0,7,2,FORTHNET-GR,Forthnet,EU,0.0,0.0
1248,1,0,0,1,HERE,HERE Global BV,NL,52.25917,4.75972
1251,1,0,0,1,,FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO,BR,-10.9258,-37.0594
1254,1,0,0,1,AS1254,National Aeronautics and Space Administration,US,41.08144,-81.51901
1257,8,3,3,2,SWIPNET,TELE2,EU,0.0,0.0
1262,1,0,0,1,AS1262,National Aeronautics and Space Administration,US,41.08144,-81.51901
1263,2,0,1,1,AS1263,National Aeronautics and Space Administration,US,41.08144,-81.51901
1267,7,0,4,3,ASN-WINDTRE,WIND TRE S.P.A.,EU,0.0,0.0
1270,6,0,2,4,UUNET-DE,UUNET Germany,EU,0.0,0.0
1273,17,5,11,1,CW,Vodafone Group PLC,EU,0.0,0.0
1275,9,1,6,2,DFN-BWIN-IP,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE,51.006,6.55081
1276,1,0,0,1,DSI-WR-18,Advanced Technology Services,US,41.08144,-81.51901
